danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,name,artist
0.557,0.719,2,-4.515,0,0.0372,0.00267,0,0.306,0.344,77.501,audio_features,3aW0ds4A4tSQDIp75FqWTo,spotify:track:3aW0ds4A4tSQDIp75FqWTo,https://api.spotify.com/v1/tracks/3aW0ds4A4tSQDIp75FqWTo,https://api.spotify.com/v1/audio-analysis/3aW0ds4A4tSQDIp75FqWTo,242334,4,FAKE LOVE,BTS
0.65,0.827,8,-4.014,1,0.0599,0.0229,0,0.121,0.223,144.995,audio_features,0H4ugk6rhnXmTl47ayy9O5,spotify:track:0H4ugk6rhnXmTl47ayy9O5,https://api.spotify.com/v1/tracks/0H4ugk6rhnXmTl47ayy9O5,https://api.spotify.com/v1/audio-analysis/0H4ugk6rhnXmTl47ayy9O5,225668,4,Daechwita,Agust D
0.583,0.817,9,-5.146,0,0.0987,0.118,0,0.338,0.438,105.936,audio_features,2QyuXBcV1LJ2rq01KhreMF,spotify:track:2QyuXBcV1LJ2rq01KhreMF,https://api.spotify.com/v1/tracks/2QyuXBcV1LJ2rq01KhreMF,https://api.spotify.com/v1/audio-analysis/2QyuXBcV1LJ2rq01KhreMF,246381,4,ON,BTS
0.738,0.861,2,-4.141,1,0.237,0.318,0.00182,0.325,0.58,131.98,audio_features,0M98PvIvx7vZ8LDpzMw1hB,spotify:track:0M98PvIvx7vZ8LDpzMw1hB,https://api.spotify.com/v1/tracks/0M98PvIvx7vZ8LDpzMw1hB,https://api.spotify.com/v1/audio-analysis/0M98PvIvx7vZ8LDpzMw1hB,189052,4,Kill This Love,BLACKPINK
0.689,0.678,5,-4.287,0,0.119,0.0702,0,0.0889,0.335,145.883,audio_features,33NAYATbWRoo5RuEP30JBZ,spotify:track:33NAYATbWRoo5RuEP30JBZ,https://api.spotify.com/v1/tracks/33NAYATbWRoo5RuEP30JBZ,https://api.spotify.com/v1/audio-analysis/33NAYATbWRoo5RuEP30JBZ,200306,4,Love Shot,EXO
0.671,0.859,4,-3.922,0,0.0833,0.0313,0,0.267,0.39,139.931,audio_features,7b8YOVV5quZcSKEijDgyWB,spotify:track:7b8YOVV5quZcSKEijDgyWB,https://api.spotify.com/v1/tracks/7b8YOVV5quZcSKEijDgyWB,https://api.spotify.com/v1/audio-analysis/7b8YOVV5quZcSKEijDgyWB,209355,4,DDU-DU DDU-DU,BLACKPINK
0.583,0.885,0,-3.571,0,0.106,0.0244,0,0.357,0.601,92.959,audio_features,5RGf8qn1TBWVplLyyKUsuV,spotify:track:5RGf8qn1TBWVplLyyKUsuV,https://api.spotify.com/v1/tracks/5RGf8qn1TBWVplLyyKUsuV,https://api.spotify.com/v1/audio-analysis/5RGf8qn1TBWVplLyyKUsuV,217052,4,Blood Sweat & Tears,BTS
0.852,0.762,6,-4.448,0,0.0487,0.333,1.66e-06,0.159,0.907,131.958,audio_features,2OCR46ZCjCOi8BfkUYQ4S1,spotify:track:2OCR46ZCjCOi8BfkUYQ4S1,https://api.spotify.com/v1/tracks/2OCR46ZCjCOi8BfkUYQ4S1,https://api.spotify.com/v1/audio-analysis/2OCR46ZCjCOi8BfkUYQ4S1,139213,4,SHOOT!,ITZY
0.641,0.489,0,-8.668,0,0.11,0.0509,0,0.071,0.206,142.977,audio_features,44tTqUi3xi7E28QLzHVdUA,spotify:track:44tTqUi3xi7E28QLzHVdUA,https://api.spotify.com/v1/tracks/44tTqUi3xi7E28QLzHVdUA,https://api.spotify.com/v1/audio-analysis/44tTqUi3xi7E28QLzHVdUA,215188,4,Anti-Romantic,TOMORROW X TOGETHER
0.637,0.799,2,-4.519,1,0.0338,0.394,0,0.0921,0.562,104.995,audio_features,3p6hnejEQYXkiTO1lAzVc0,spotify:track:3p6hnejEQYXkiTO1lAzVc0,https://api.spotify.com/v1/tracks/3p6hnejEQYXkiTO1lAzVc0,https://api.spotify.com/v1/audio-analysis/3p6hnejEQYXkiTO1lAzVc0,228615,4,Euphoria,BTS
