id,title,artist,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5XO1SOADQxkdqGLFxX8rLN,The Great Mermaid,LE SSERAFIM,0.625,0.824,0,-4.619,0,0.000884,0.0,0.0908,0.438,94.963,177795,4
7HGKvoju3ucB7UqVt1GoJu,YOUNG LUV,STAYC,0.695,0.749,7,-4.187,0,0.392,5.23e-05,0.104,0.458,129.905,206080,4
2AIWoHr9DF6y4KALCBKWQS,IDOL,BTS,0.734,0.855,9,-3.211,1,0.00481,0.0,0.123,0.422,126.035,222732,4
5awNIWVrh2ISfvPd5IUZNh,PTT (Paint The Town),LOONA,0.781,0.814,8,-2.437,1,0.0735,1.92e-05,0.0565,0.546,124.028,201120,4
7nKQ5WAcjnG48knyLuo8gO,Red Flavor,Red Velvet,0.709,0.917,9,-3.315,1,0.0409,0.0,0.0839,0.515,125.042,191139,4
2BQIMF7CyLe2xAKzh74A4C,Gee,Girls' Generation,0.749,0.923,1,-1.014,0,0.292,0.0,0.111,0.727,99.975,202200,4
5OnchRw2yAuIAwp2RYLCBa,Girl Front,LOOΠΔ / ODD EYE CIRCLE,0.717,0.795,4,-4.079,1,0.0487,1.67e-05,0.267,0.687,139.99,196734,4
6TBJkXHPhu3EsMk1bshwuI,ONLY,LeeHi,0.536,0.296,5,-7.451,1,0.892,0.0,0.0873,0.151,122.907,240907,3
6yGQ86UppYULzTCxAWgwVN,Why Not?,LOONA,0.806,0.934,2,-0.836,1,0.104,0.00108,0.0618,0.444,128.016,205520,4
4ZsSeCSgARNHlLa69ejGzz,WOW,LOONA,0.702,0.938,0,-2.264,1,0.0175,0.0,0.0762,0.564,105.963,178573,4
1j3zXAq0W9cLIpiAXwcYXF,"Girl's Talk (이브, 츄)",LOONA,0.736,0.806,10,-5.074,0,0.056,4.33e-05,0.0978,0.84,114.971,197469,4
4wGt2KmqMQ7LC5bqPi51sf,Star,LOONA,0.715,0.92,6,-1.787,0,0.0557,0.0037,0.0607,0.874,158.15,198187,4
4LkXtklCusSbi6UxYWgH8B,Scaredy Cat,DPR IAN,0.801,0.686,5,-4.252,0,0.133,0.0,0.0882,0.885,120.007,170800,4
0ZsRFf3jsn4MvGHUoIcKLy,ODD Front,LOOΠΔ / ODD EYE CIRCLE,0.632,0.806,4,-4.317,1,0.0346,2.87e-06,0.116,0.394,140.005,225733,4
52CBUrIdyf8tbZaUY9iawE,After School,Weeekly,0.634,0.928,1,-1.609,1,0.00719,2.55e-06,0.0626,0.738,164.007,205373,4
1XyzcGhmO7iUamSS94XfqY,The Feels,TWICE,0.808,0.903,9,-2.179,1,0.0899,0.0,0.0816,0.922,120.044,198053,4
1lhm29o3syw122xynSKaAK,Love Me Like That,Sam Kim,0.59,0.294,9,-8.125,1,0.854,0.0,0.0873,0.461,87.895,211364,4
2JPmY7ol32ok8N7wWLmfU6,Lost At Sea (Illa Illa 2),Afgan,0.673,0.512,11,-9.516,0,0.317,0.0,0.109,0.59,100.967,205545,4
2IgbYlOlFpiSFYnsqB39lM,Jasmine,DPR LIVE,0.597,0.486,8,-5.893,1,0.331,0.0,0.14,0.397,137.68,201511,4
1dN4Z7wZTQXLEl33RkMO3a,Text Me,DPR LIVE,0.846,0.592,5,-6.452,0,0.146,0.0,0.258,0.757,134.024,177343,4
6syar8JKCt3R9ZBl11zmgI,So Beautiful,DPR IAN,0.806,0.735,7,-4.833,0,0.281,0.000351,0.0722,0.788,122.025,187227,4
4M58f8RgOr3jr5ccG6hRTb,illa illa,B.I,0.74,0.625,11,-7.199,0,0.0926,0.0,0.0762,0.469,101.003,205003,4
7uQZVznj0uQOGC9KhV2Mg6,LALISA,LISA,0.806,0.653,8,-6.283,1,0.0282,0.000784,0.107,0.85,150.058,200690,4
6NEoeBLQbOMw92qMeLfI40,WHISTLE,BLACKPINK,0.818,0.723,11,-4.82,1,0.00561,0.0,0.0866,0.607,102.945,211632,4
1pz24zu5H9A0S1a2NKT4F0,SoulMate (feat. IU),IU,0.855,0.58,5,-6.951,1,0.234,0.0,0.0965,0.518,96.998,219391,4
4Rrv9oNClBhzKRfKwdkg99,The World Is My Oyster,LE SSERAFIM,0.623,0.837,5,-7.699,1,0.0203,0.454,0.199,0.601,120.043,106821,4
245onUPHGD1DYuiacxTuW0,KAZINO,BIBI,0.625,0.686,6,-3.715,0,0.139,0.0,0.11,0.263,133.041,185947,4
6O4J9lITTLkSoloSVbqbEj,Something,Gang Haein,0.617,0.638,2,-6.901,1,0.374,2.89e-06,0.302,0.69,75.956,229067,4
3DGKXLtVjawKFweymvHn84,키스는 다음에,LOONA,0.412,0.767,11,-4.108,1,0.176,0.0,0.0733,0.634,207.437,199754,4
2YVzshKzFglQLBXPYNpGI8,HULA HOOP,LOONA,0.684,0.976,6,-2.104,1,0.177,0.00043,0.407,0.847,119.905,199987,4
342lZcrcYRL1kN3a87g1ay,World is One 2021 (Feat. Eric Bellinger),Eric Bellinger,0.768,0.762,3,-4.042,0,0.2,5.65e-06,0.111,0.851,122.07,193787,4
4rKEmhNA19JezqVsSQS4yo,love4eva (feat. Grimes),LOONA/yyxy,0.738,0.954,1,-2.146,1,0.0692,0.0,0.222,0.742,102.015,220477,4
3lVzntD100XcGaW3HZ5FuU,Universe,LOONA,0.776,0.665,8,-3.971,1,0.374,0.0,0.0969,0.422,109.988,214360,4
1117juaaAkSIUsQxTmmcKM,Pretty U,SEVENTEEN,0.642,0.931,8,-2.82,1,0.0173,0.0,0.0815,0.884,155.088,207300,4
7hU3IHwjX150XLoTVmjD0q,MONEY,LISA,0.831,0.554,1,-9.998,0,0.161,6.12e-05,0.152,0.396,140.026,168228,4
1ayaOin9hxCtyhg4UsBTpg,Kick It,NCT 127,0.681,0.847,7,-2.462,1,0.0306,0.0,0.0808,0.507,167.031,233013,4
7zDu3l7DDlfSlt20YMKkWo,Martini Blue,DPR LIVE,0.767,0.551,11,-6.654,0,0.395,0.0,0.13,0.881,139.937,195205,4
4lpvCG7eNzHAXwvMxWUNjz,No Blueberries,CL,0.721,0.617,4,-6.178,0,0.507,0.0,0.252,0.902,148.032,185107,4
5zhMMVw097YOSvT0oDGgDV,zombie pop,DPR IAN,0.686,0.687,2,-7.794,1,0.00799,7.33e-05,0.0781,0.88,90.084,114380,4
4TiKZrN7gtc62SUiufpFCM,Dope,BTS,0.579,0.896,10,-2.781,0,0.0272,1.02e-06,0.352,0.678,153.991,240021,4
0BJMgVrnWIvgYsjq8KaPeh,SCIENTIST,TWICE,0.786,0.858,11,-3.74,1,0.0487,0.0,0.126,0.649,112.999,194600,4
5WrEilrRI5cIW0DxMvQYPZ,Jopping,SuperM,0.74,0.835,10,-3.425,0,0.0139,0.0,0.857,0.535,123.024,251293,4
7n2FZQsaLb7ZRfRPfEeIvr,ELEVEN,IVE,0.828,0.731,9,-3.033,1,0.0617,0.0,0.048,0.587,119.978,178453,4
0CnpSTdL9l5vQM4YnzXtyo,Panorama,IZ*ONE,0.726,0.963,9,-1.111,0,0.0429,0.00157,0.128,0.769,126.062,222853,4
2VJOpzv5sBpstCX9venJr5,Rollin',Brave Girls,0.69,0.878,1,-3.908,1,0.0312,0.0,0.188,0.548,124.948,197694,4
76ziL4M1nP9psv11be5812,Dance The Night Away,TWICE,0.711,0.861,0,-2.905,1,0.106,4.4e-05,0.112,0.78,118.004,180809,4
7od91jr6uXk0JoxVaIRA18,Chi Mat Ba Ram,Brave Girls,0.646,0.89,7,-1.679,1,0.0281,0.0,0.296,0.828,126.994,217320,4
2Gceplet3jzhweUib54mhf,PROMISE (for UNICEF Promise Campaign),EVERGLOW,0.533,0.82,6,-2.284,1,0.00335,0.0,0.0932,0.499,155.991,214440,4
3FARQP8fA49bSsTWjNyWmY,Secret Story of the Swan,IZ*ONE,0.703,0.941,7,-0.995,0,0.131,0.0,0.319,0.758,102.969,192333,4
1fRaznZsAB2i63TtmYv2Hc,La Vie en Rose,IZ*ONE,0.698,0.908,9,-1.211,0,0.0899,0.0,0.115,0.606,115.975,218994,4
2etvRAUH3Q7HrI0JFF9z9p,gimme gimme,NCT 127,0.612,0.846,0,-2.371,1,0.107,0.0,0.686,0.611,126.041,219732,4
4Wa3kUtGTeuPuC9qF9wF0g,Sequence,IZ*ONE,0.793,0.849,1,-3.137,0,0.00311,0.0,0.0506,0.771,125.957,190867,4
0P8lbWigAHXPKxUG60xh79,Naughty,Red Velvet - IRENE & SEULGI,0.693,0.759,7,-2.9,1,0.055,1.36e-06,0.116,0.635,112.983,198520,4
6BKOhvRPY54uvfqWwg7MKi,Up & Down,EXID,0.714,0.812,7,-2.703,1,0.00189,1.96e-06,0.229,0.377,112.018,189882,4
6LnEoRQKMcaFTR5UvaKuBy,Rock with you,SEVENTEEN,0.621,0.816,11,-5.242,1,0.0966,0.0,0.134,0.694,163.966,180360,4
7J2DJVB6R6c13oywavsmMG,Lemonade,Lee Eun Sang,0.742,0.604,8,-4.144,1,0.0951,3.77e-06,0.082,0.537,114.981,193578,4
4r34Yi0eltsu1tp6z4lq3x,XOXO,JEON SOMI,0.704,0.608,9,-6.339,1,0.0717,0.0,0.13,0.527,144.959,207650,4
5ex8dcO5ebAqj9gEPZyAdL,Alive,B.I,0.619,0.835,7,-5.724,1,0.381,0.000257,0.135,0.455,176.279,174535,4
2FHqVel9e7MZc1GNPEMtub,Flame,B.I,0.805,0.707,4,-6.662,0,0.1,0.000398,0.329,0.274,123.106,178865,4
0S38pb0gNLNpOeyV3w9gXb,Universe (Let's Play Ball),NCT U,0.587,0.895,5,-1.591,0,0.0524,0.0,0.0402,0.697,179.975,231467,4
6NBbpQfD2MZcCNBOy7iE7Q,Beautiful,NCT 2021,0.652,0.916,1,-1.511,1,0.429,0.0,0.124,0.713,127.97,261187,4
1F9FQp9dnnQWTkaK6Nzm1W,Fireflies (THE OFFICIAL SONG OF THE WORLD SCOUT FOUNDATION),NCT DREAM,0.744,0.674,1,-3.736,1,0.00253,0.0,0.201,0.73,127.941,200973,4
6x7fux7bZEfnChKx3nhSZn,Me Gustas Tu,GFRIEND,0.646,0.923,8,-1.309,1,0.166,0.0,0.0507,0.703,106.086,220745,4
6wH3AP7b01vpzKYRJhreMy,Black Swan,BTS,0.719,0.757,2,-5.167,0,0.137,0.0,0.129,0.489,147.024,198261,4
1wcr8DjnN59Awev8nnKpQ4,Drunk-Dazed,ENHYPEN,0.599,0.869,5,-5.174,0,0.000707,0.0,0.0911,0.453,132.889,193260,4
5QDLhrAOJJdNAmCTJ8xMyW,Dynamite,BTS,0.746,0.765,6,-4.41,0,0.0112,0.0,0.0936,0.737,114.044,199054,4
1mWdTewIgB3gtBM3TOSFhB,Butter,BTS,0.759,0.459,8,-5.187,1,0.00323,0.0,0.0906,0.695,109.997,164442,4
3XYRV7ZSHqIRDG87DKTtry,Permission to Dance,BTS,0.702,0.741,9,-5.33,1,0.00544,0.0,0.337,0.646,124.925,187585,4
4a9tbd947vo9K8Vti9JwcI,Boy With Luv (feat. Halsey),Halsey,0.645,0.862,11,-4.761,0,0.0933,0.0,0.193,0.803,119.947,229773,4
